tweet_id,created_at,author_id,username,name,text,likes,retweets,replies,quotes,impressions,lang,url
1997655756191989794,2025-12-07 13:13:41+00:00,211946005,LabRat10,LabRat 🇪🇺🇺🇦 #belarriprest,"@Mar90490 @danthelions_ In Advent, it appears only next Sunday 14th. From 24/12 to 6/01: https://t.co/jDRNwWKKtC",0,0,0,0,0,en,https://x.com/LabRat10/status/1997655756191989794
1997655755730661535,2025-12-07 13:13:41+00:00,510097391,varunreddy212,Varun Reddy,@MoCA_GoI @IndiGo6E seems to have cut a deal with @makemytrip to delay cancellations &amp; skip your Dec 7th 8pm deadline. I have been shown as no show on my flights since MMT forgot to inform Indigo of the cancellation. https://t.co/Cbi37f9xDO,0,0,0,0,1,en,https://x.com/varunreddy212/status/1997655755730661535
1997655754703086003,2025-12-07 13:13:41+00:00,467576758,RussDiabo,Russ Diabo,Canada may approve a new oil pipeline. First Nations tribes fear another ‘worst-case scenario’ https://t.co/ABgViIoqpZ,0,0,0,0,0,en,https://x.com/RussDiabo/status/1997655754703086003
1997655754476528030,2025-12-07 13:13:41+00:00,1572025906990026752,GeruTine,Micah 🍃,"I think its a common thing for people who are ND  I tend to partially lose interest and move on to another interest once i hit 4-5 year mark on liking something, my fixations would burn out due to repetitivness, it also depends on how exposed i am to a community- https://t.co/bgmKWMtzQD",0,0,1,0,0,en,https://x.com/GeruTine/status/1997655754476528030
1997655754241671442,2025-12-07 13:13:41+00:00,1274488658389680128,ogpXt2gukt4gxf1,!!𝐀𝐃𝐕𝐄𝐑𝐓^// page !!!🅧 GVRCalls,@sammyle76815353 @GVRCALLS Stop losing money trading solo - Trade without precision and confidence. Join GVR TG private Class for expert signals🚦&amp; auto-trading. Members hit 800-1000% ROI in days 💰 ($50 &gt; $5K+). Recover losses &amp; earn real profits now.  CLICK THE LINK IN MY PINNED TWEET POST TO JOIN,0,0,0,0,0,en,https://x.com/ogpXt2gukt4gxf1/status/1997655754241671442
1997655751104299230,2025-12-07 13:13:40+00:00,271604349,Tarantiniano,Jorge Chueca,"Alice in Borderlands T.3 - (6) Shinshuke Shato, 2025. https://t.co/JbGxA7Y0hl",0,0,0,0,0,en,https://x.com/Tarantiniano/status/1997655751104299230
1997655750219325792,2025-12-07 13:13:40+00:00,1451276105390907395,Richard12273382,Richard K,"#MMTLP $MMTLP #MMAT @RalphNorman #NEXTBRIDGE @DOGE_SEC @SECPaulSAtkins @cvpayne @toddstarnes  IT WILL BE 3 YEARS ON DECEMBER 9TH THAT 65,000 MMTLP INVESTORS HAD THEIR LIVES RUINED BY FINRA/SEC! THE SEC/FINRA/CONGRESS HAVE DONE ZERO TO FIX IT! WHO WILL STAND TO RESOLVE THIS? https://t.co/EK4mm0ajP8",1,0,0,0,0,en,https://x.com/Richard12273382/status/1997655750219325792
1997655749753762180,2025-12-07 13:13:40+00:00,400630125,TheWeekLive,THE WEEK,"Seasonal affective disorder (SAD) is a type of depression triggered by seasonal changes, most commonly occurring during late fall and winter.  #MentalHealth #MentalHealthMatters #healthnews https://t.co/N6P5cWdmqD",0,0,0,0,0,en,https://x.com/TheWeekLive/status/1997655749753762180
1997655749665628613,2025-12-07 13:13:40+00:00,1156879726016978945,opporchoice,opporchoice.,@bengcryptoz Cut Carbs generally,0,0,0,0,0,en,https://x.com/opporchoice/status/1997655749665628613
1997655749007196185,2025-12-07 13:13:39+00:00,1673257223877980160,roxlifepk,ROX,"Karachi, you asked for it &amp; we’re bringing the ROX Concert to your city! Get ready to make your night unforgettable with Faris Shafi, Hasan Raheem, MAANU &amp; AUR the band on one stage on 20th Dec, 2025 at Moin Khan Academy. Get Early Bird Discount ticket for Rs. 1,200.  #ROXVibeHai https://t.co/yvphrbyTd1",0,0,0,0,0,en,https://x.com/roxlifepk/status/1997655749007196185
